"Game ID";"Game Name"
"20326";"Armorines - Project Swarm"
"19747";"Army Men 3d"
"19782";"Army Men - Air Attack"
"19812";"Army Men - Air Attack 2"
"20076";"Army Men - Omega Soldier"
"19753";"Army Men - Sarge's Heroes"
"20142";"Army Men - Sarge's Heroes 2"
"19967";"Army Men - Operation Meltdown"
"20155";"Army Men - Lock N Load"
"20082";"Army Men - Land Sea Air"
"103620";"Army Men - Team Assault"
"118886";"Art Camion Geijutsuden"
"118887";"Art Camion Sugorokuden"
"194945";"Arthur To Astaroth No Nazo Makaimura - Incredible Toons"
"103623";"Arthur! Ready To Race"
"118192";"Arubarea No Otome - Uruwashi No Seikishitachi"
"132345";"Asobou! Hanasou! Gurugurutaun Hanamarukun (kid Station)"
"419166";"Asonde Chinou Up"
"103622";"Assault"
"20039";"Assault Rigs"
"118888";"Assault Suits Valken 2"
"19432";"Astérix"
"19512";"Asterix And Obelix Take On Caesar"
"19380";"Astérix Mega Madness"
"20120";"Asteroids"
"134772";"Astronaut (simple 1500 Series), The"
"118889";"Astronoka"
"124651";"Asuka 120% Burning Fest Final"
"124650";"Asuka 120% Excellent - Burning Fest. Excellent"
"118937";"Asuka 120% Special - Burning Fest Special"
"118890";"Asuncia - Strategic Fantasy Role Playing Game"
"103626";"Atari Anniversary Edition Redux"
"19978";"Atelier Elie"
"156074";"Atelier Marie"
"132151";"Atelier Marie Plus"
"118891";"Athena Awakening From The Ordinary Life"
"118892";"Athena No Kateiban - Family Games"
"19469";"Atlantis - The Lost Tales"
"118914";"Atlantis The Lost Continent"
"19748";"Attack Of The Saucerman !"
"103625";"Atv - Quad Power Racing"
"20608";"Atv Mania"
"20474";"Atv Racers"
"118919";"Aubirdforce"
"118920";"Aubirdforce After"
"118921";"Aura Battler Dunbine"
"103624";"Austin Powers Pinball"
"19941";"Auto Destruct"
"118922";"Autobahn Raser 2"
"194947";"Ayakashi Ninden Kunoichiban"
"118923";"Ayrton Senna Kart Duel"
"20169";"Ayrton Senna Kart Duel 2"
"118924";"Ayrton Senna Kart Duel Special"
"118918";"Azito"
"20378";"Azito 2"
"189464";"Azito 3"
"19765";"Aztec - Malediction Au Coeur De La Cite D'or"
"118917";"Azumanga Donjara Daiou"
"19497";"Azure Dreams"
"117328";"B Senjou no Alice - Alice on Borderlines"
"117327";"B.l.u.e. Legend Of Water"
"20217";"Baby Felix Tennis"
"107146";"Baby Universe"
"118926";"Backgainer - Yomigaeru Yuusha-tachi - Hishou-hen "uragiri No Senjou""
"118927";"Backgainer - Yomigaeru Yuusha-tachi - Kakusei-hen"
"118929";"Backgammon 2000"
"103630";"Backstreet Billiards"
"20551";"Junior Sports Football"
"20356";"Bakumatsu Roman / The Last Blade"
"117329";"Bakuretsu Hunter - Sorezore No Omoi - Nowaan Chatte"
"118930";"Bakuretsu Hunter Mahjong Special"
"152559";"Bakushou!! All Yoshimoto Quiz-ou Kettei-sen Dx"
"118933";"Bakusou Dekotora Densetsu - Art Truck Battle"
"118934";"Bakusou Dokotora Densetsu 2 - Otoko Jinsei Yume Ichiro"
"118935";"Bakusou Kyoudai Let's And Go!! Eternal Wings"
"118936";"Bakuten Shoot Beyblade 2002 - Beybattle Tournament 2"
"20682";"Baldies"
"251127";"Baldur's Gate"
"20286";"Moho"
"20510";"Ballblazer Champions"
"20509";"Ballerburg"
"20054";"Ballistic"
"496055";"Bar Belyj Medved' - Miss Osen'"
"189583";"Barbapapa (kid Station)"
"20238";"Barbie Aventure Equestre"
"19886";"Barbie Explorer"
"103632";"Barbie - Gotta Have Games"
"20604";"Barbie Super Sports"
"129721";"Bardysh - Kromeford No Juunin"
"20226";"Baroque"
"20566";"Baroque Syndrome"
"129722";"Baseball Navigator"
"129723";"Baseball Simulation - Id Puro Yakyu"
"103633";"Bases Loaded '96 - Double Header"
"117309";"Bass Fisherman"
"20642";"Bass Landing"
"126598";"Bass Landing 2"
"20718";"Bass Rise"
"140879";"Bass Tsuri Ni Ikou!"
"129728";"Bastard!! Utsuronaru Kamigami No Utsuwa"
"19571";"Batman And Robin"
"19847";"Batman - Gotham City Racer"
"19587";"Batman Of The Future - Return Of The Joker"
"19872";"Batman Forever - The Arcade Game"
"117325";"Battle Arena Nitoushinden"
"19551";"Battle Arena Toshinden"
"19951";"Battle Arena Toshinden 2"
"19803";"Battle Arena Toshinden 3"
"129729";"Battle Athletess - Daiundoukai Alternative"
"129730";"Battle Athletess - Daiundoukai Gto"
"129732";"Battle Bombee 2 - Sukkiri Momoaji"
"118938";"Battle Bugs"
"118939";"Battle Formation"
"20750";"Hunter, The"
"129733";"Battle Konchuuden"
"118940";"Battle Master"
"189672";"Battle Qix (superlite 1500 Series)"
"20475";"Battle Stations"
"20526";"Battlesport"
"20029";"Battletanx - Global Assault"
"134842";"Beach Volley (simple 1500 Series), The"
"189463";"Bealphareth"
"105237";"Beast Wars - Transformers"
"19489";"Beat Mania"
"129734";"Beat Mania - The Sound Of Tokyo"
"129736";"Beat Mania Append 3rdmix"
"129737";"Beat Mania Append Gottamix"
"129738";"Beat Mania Append Gottamix 2 - Going Global"
"124660";"Beat Planet Music"
"129741";"Beatmania 6thmix   Core Remix"
"129742";"Beatmania Append 4thmix - The Beat Goes On"
"129743";"Beatmania Append 5thmix - Time To Get Down"
"129744";"Beatmania Append Club Mix"
"129772";"Beatmania Best Hits"
"129745";"Beatmania Featuring Dreams Come True"
"129746";"Beavis And Butt-head In Virtual Stupidity"
"20470";"Bedlam"
"19583";"Beyblade"
"20149";"Beyond The Beyond"
"20476";"Big Air"
"20678";"Big Bass Fishing"
"20742";"Big Bass World Championship"
"129753";"Big Challenge Golf - Tokyo Yomiuri Country Club Hen"
"103636";"Big League Slugger Baseball"
"20110";"Fisherman's Bait 3"
"103637";"Big Strike Bowling"
"134778";"Bike Race (simple 1500 Series), The"
"134810";"Billiard 2 (simple 1500 Series), The"
"103639";"Billiards"
"20211";"Bio Freaks"
"19956";"Bishi Bashi Special"
"195543";"Bishi Bashi Special 2"
"108643";"Bishi Bashi Special 3 - Step Champ"
"189462";"Bishoujo Senshi Sailor Moon Super S - Shin Shuyaku Soudatsusen"
"129760";"Bistro - Ryouri And Wine No Shokunin Tachi, The"
"20469";"Black Bass With Blue Marlin"
"20355";"Black Dawn"
"190328";"Black Matrix 00"
"129761";"Black Matrix Cross"
"194953";"Blackjack Vs. Matsuda Jun"
"19642";"Blade"
"129762";"Blade Arts"
"129763";"Blademaker"
"20379";"Blam! Machinehead"
"20452";"Blast Chamber"
"103638";"Blast Lacrosse"
"20072";"Blast Radius"
"20352";"Blaster Master - Blasting Again"
"20083";"Blasto"
"129765";"Blaze And Blade Busters"
"19453";"Blazing Dragons"
"129766";"Blend X Brand"
"129699";"Block Buster"
"129767";"Block Kuzushi - Deden No Gyakushuu"
"129768";"Block Kuzushi Kowashite Help!"
"129769";"Block Wars"
"129770";"Blockids"
"19893";"Blood Lines"
"19337";"Blood Omen - Legacy Of Kain"
"19442";"Bloody Roar - Hyper Beast Duel"
"19355";"Bloody Roar 2 - Bringer Of The New Age"
"129774";"Blue Breaker Burst - Egao No Asu Ni"
"269024";"Blue Breaker Burst : Hohoemi o Anata to"
"129773";"Blue Breaker Egao No Yakushoku"
"129776";"Blue Forest Story - Kaze No Fuuin"
"513089";"Blue Marlin, The"
"103641";"Blue's Clues - Blue's Big Musical"
"103642";"Board Game - Top Shop"
"20410";"Spongebob Squarepants - Supersponge"
"20553";"Bob Le Bricoleur"
"20617";"Raging Skies"
"129778";"Boku No Choro Q"
"126959";"Boku No Natsuyasumi - Summer Holiday 20th Century"
"129779";"Boku Wa Koukuu Kanseikan"
"129780";"Bokujou Monogatari - Harvest Moon For Girl"
"132346";"Bokura To Asobou! Ultraman Tv (kid Station)"
"189671";"Bomb Boat (superlite 1500 Series)"
"19918";"Bomberman"
"19981";"Bomberman Fantasy Race"
"129781";"Bomberman Land"
"129782";"Bomberman Wars"
"19775";"Bomberman World"
"189461";"Bonogurashi - Kore De Kanpeki Disu"
"129783";"Book Of Watermarks, The"
"103643";"Boombots"
"20582";"Bottom Of The 9th"
"20692";"Bottom Of The 9th '97"
"103644";"Bottom Of The 9th '99"
"129784";"Boundary Gate - Daughter Of Kingdom"
"129785";"Bounty Hunter Sarah - Holy Mountain No Teiou"
"129786";"Bounty Sword - Double Edge"
"129787";"Bounty Sword First"
"20628";"Bowling"
"129791";"Boxer's Road"
"20412";"All Star Boxing"
"189460";"Boys Be - 2nd Season"
"129792";"Boys Be..."
"103646";"Brahma Force"
"20068";"Brain Dead 13"
"19950";"Bratz"
"19598";"Brave Fencer Musashi"
"129793";"Brave Prove"
"152833";"Brave Saga 2"
"189459";"Brave Sword"
"103645";"Bravo Air Race"
"103649";"Break Point"
"129794";"Break Thru!"
"129795";"Break Volley"
"504733";"Breakneck"
"20502";"Breakout"
"19306";"Breath Of Fire 3"
"19372";"Breath Of Fire 4"
"152834";"Breed Master"
"131095";"Breeding Stud '99"
"129796";"Breeding Stud - Bokujou De Aimashou"
"129797";"Breeding Stud 2"
"20414";"Brian Lara Cricket"
"20210";"Brigandine - Grand Edition"
"19928";"Brigandine - The Legend Of Forsena"
"129799";"Brightis"
"20462";"Broken Helix"
"129800";"Brunswick Circuit Pro Bowling"
"103648";"Brunswick Circuit Pro Bowling 2"
"256441";"Bubble Bobble 2"
"20257";"Bubble Bobble Feat. Rainbow Islands"
"19455";"Bubsy 3d"
"129801";"Buckle Up!"
"20584";"Bugriders - The Race Of Kings"
"19566";"Bugs Bunny And Taz - Time Busters"
"19410";"Bugs Bunny Lost In Time"
"103635";"Land Maker"
"129802";"Building Crush!"
"129804";"Burger Burger - Hamburger Simulation"
"129805";"Burger Burger 2"
"20105";"Burning Road"
"20606";"Burstrick Wake Boarding"
"19466";"Bushido Blade"
"19766";"Bushido Blade 2"
"19633";"Bust A Groove"
"20160";"Bust A Groove 2"
"152560";"Bust A Move - Dance And Rhythm Action"
"20095";"Bust-A-Move 3 DX"
"19800";"Bust-a-move 2 Arcade Edition"
"19744";"Bust-a-move 4"
"103647";"Super Pang Collection"
"117304";"Butage - Deiin Janai?"
"129808";"Buttsubushi"
"533216";"Buzzy Bee"
"20102";"C - The Contra Adventure"
"19696";"C-12 - Final Resistance"
"108025";"C1 - Circuit"
"19839";"C3 Racing - Car Constructors Championship"
"108024";"Cabela's Big Game Hunter - Ultimate Challenge"
"103650";"Cabela's Ultimate Deer Hunt"
"108027";"Cadillac"
"108026";"Caesars Palace"
"20548";"Caesars Palace 2000"
"108028";"Caesars Palace 2"
"108032";"Calcolo!"
"108029";"California Surfing"
"108030";"California Watersports"
"134857";"Cameraman (simple 1500 Series), The"
"19692";"Premier Manager 2000"
"198745";"Capcom Generation - Dai-1-shuu Gekitsuiou No Jidai"
"198747";"Capcom Generation - Dai-2-shuu Makai To Kishi"
"198749";"Capcom Generation - Dai-3-shuu Koko Ni Rekishi Hajimaru"
"198751";"Capcom Generation - Dai-4-shuu Kokou No Eiyuu"
"198753";"Capcom Generation 5"
"19733";"Capcom Generations"
"19674";"Capcom Vs Snk"
"194955";"Captain Commando"
"189458";"Captain Love"
"108031";"Captain Tsubasa - Aratanaru Densetsu Joshou"
"152381";"Captain Tsubasa J - Get In The Tomorrow"
"134818";"Card (simple 1500 Series), The"
"134805";"Card 2 (simple 1500 Series), The"
"131636";"Card 2 (superlite 1500 Series)"
"104662";"Card Games"
"129814";"Cardcaptor Sakura - Clow Card Magic"
"19868";"Cardinal Syn"
"19701";"Carmageddon"
"102983";"Carnage Heart"
"195120";"Carnage Heart Ez - Easy Zapping"
"129817";"Carom Shot"
"20250";"Cart World Series"
"152836";"Carton-kun"
"134808";"Casino (simple 1500 Series), The"
"19552";"Casper"
"19965";"Casper - Friend Around The World"
"19269";"Castlevania - Symphony Of The Night"
"19456";"Castlevania Chronicles"
"20632";"Castrol Honda Superbike Racing"
"108033";"Castrol Honda Vtr"
"129819";"Cat The Ripper - 13ninme No Tanteishi"
"129820";"Catan - Die Erste Insel"
"530975";"Celeste Classic"
"20471";"Centipede"
"129825";"Chakushin Melody Damon"
"129826";"Chakushin Melody Damon Gold"
"129827";"Chakushin Melody Damon Volume.2"
"129828";"Chakushin Melody Damon Volume.3"
"129829";"Chakushin Melody Damon Volume.4"
"20693";"Champion Wrestler - Jikkyo Raibu"
"20643";"Championship Bass"
"108034";"Championship Manager Quiz"
"19813";"Championship Motocross 2001 Featuring Ricky Carmichael"
"167431";"Championship Motocross Featuring Ricky Carmichael"
"20049";"Championship Surfer"
"20038";"Chaos Break"
"108035";"Chaos Control"
"129831";"Charumera"
"129832";"Checkmate"
"20675";"Checkmate 2"
"20319";"Cheesy"
"102979";"Chess"
"129833";"Chess 2000"
"132066";"Chess And Reversi (nice Price)"
"104667";"Chessmaster 2"
"129836";"Chibi Chara Game Ginga Eiyuu Densetsu"
"129837";"Chibi Maruko-chan - Maruko Enikki World"
"19665";"Chicken Run"
"189457";"Chiisana Kyojin Microman"
"189456";"Chiisana Oukoku Eltoria"
"20533";"Chill"
"19801";"Chine - Intrigue À La Cité Interdite"
"127080";"Chinmoku No Kanita - The Silent Service"
"105228";"Chippoke Ralph No Daibouken - The Adventure Of Little Ralph"
"20228";"Cho Aniki - Kyuukyoku Muteki Ginga Saikyou Otoko"
"493358";"Chō Sentō Kyūgi Van Borg"
"129844";"Cho-nazo-oh"
"500090";"Chocobo Collection - Happy 10th Anniversary"
"19700";"Chocobo Racing"
"20246";"Chocobo Stallion"
"20146";"Chocobo's Dungeon"
"20081";"Chocobo's Dungeon 2"
"129839";"Chocolate Kiss"
"20581";"Choro Q Jet - Rainbow Wings"
"20721";"Choro Q Marine - Q-boat"
"20691";"Choro Q Wonderful !"
"20690";"Choro Q2"
"20580";"Choro Q3"
"129841";"Chou Hatsumei Boy Kanipan - Hirameki Wonderland"
"129842";"Chou Jikuu Yousai Macross - Ai Oboete Imasu ka"
"194958";"Chou Jiryoku Senshi Microman - Generation 2000"
"129843";"Chou Majin Eiyuuden Watary Another Step"
"152760";"Choujin Gakuen Gowcaizer"
"152292";"Choukousoku GranDoll"
"104669";"Chris Kamara's Street Soccer"
"19963";"Chronicles Of The Sword"
"19287";"Chrono Cross"
"20447";"Cindy's Caribbean Holiday"
"20497";"Cindy's Fashion World"
"129904";"Circadia"
"129905";"Circuit Beat"
"20219";"Circuit Breakers"
"129907";"City Bravo!"
"152839";"City Bravo! Business Hen"
"131433";"Civilization"
"19416";"Civilization 2"
"129908";"Civizard - Majutsu No Keifu"
"129909";"Classic Road"
"269034";"Classic Road - Yuushun 2"
"129911";"Classic Road 2"
"104665";"Cleopatra's Fortune"
"200515";"Click Manga - Click no Hi"
"129914";"Click Manga - Dynamic Robot Taisen 1"
"194959";"Click Manga - Dynamic Robot Taisen 2 - Kyoufu! Akuma Zoku Fukkatsu"
"129915";"Click Manga - Ginga Eiyuu Densetsu 1"
"129916";"Click Manga - Ginga Eiyuu Densetsu 2"
