"Game ID";"Game Name"
"392684";"#Funtime"
"408396";"#SinucaAttack"
"401684";"&#x14C;kami"
"397480";"&#x221A;Letter"
"397484";"&#x221A;Letter: Last Answer"
"401568";"&#x3E;observer_"
"381972";"'90s Football Stars"
"401540";"'n Verlore Verstand"
"394972";", The"
"381836";"25th Ward - The Silver Case, The"
"381840";"2Dark"
"381848";"2MD VR Football"
"381852";"2urvive"
"381856";"35MM"
"381860";"36 Fragments of Midnight"
"381864";"39 Days to Mars"
"381872";"3D Mini Golf"
"381876";"3D Pool"
"381880";"3M Fundaci&#xF3;n STEM VR"
"381884";"3on3 FreeStyle"
"381888";"428: Shibuya Scramble"
"381892";"4K Brain Breaker"
"381896";"5 Star Wrestling: ReGenesis"
"381900";"60 Parsecs!"
"381904";"60 Seconds!"
"381908";"60 Seconds! Reatomized"
"381912";"64th. Street: A Detective Story"
"381916";"6Souls"
"381920";"7 Days to Die"
"381924";"7 Days to Die: Telltale Games' The Walking Dead Skin Pack Bundle"
"381928";"7th Sector"
"381968";"8 to Glory"
"381940";"8-bit Adventure Anthology: Volume I"
"381944";"8-Bit Armies"
"381952";"8-Bit Farm"
"381956";"8-Bit Hordes"
"381960";"8-Bit Invaders!"
"381932";"88 Heroes"
"381936";"890B"
"381964";"8DAYS"
"381988";"9 Monkeys of Shaolin"
"381976";"911 Operator"
"381980";"99Vidas"
"381992";"9th Dawn III"
"382008";"A Bastard's Tale"
"382020";"A Boy and His Blob"
"382092";"A Certain Magical Virtual-On"
"382108";"A Chair in a Room: Greenwater"
"382156";"A Day Without Me"
"382296";"A Fisherman's Tale"
"382308";"A Fold Apart"
"382392";"A Gummy's Life"
"382396";"A Hat in Time"
"382400";"A Healer Only Lives Twice"
"382404";"A Hero and a Garden"
"382408";"A Hole New World"
"382500";"A Juggler's Tale"
"382524";"A King's Tale - Final Fantasy 15"
"382536";"A Knight's Quest"
"382636";"A Little Lily Princess"
"382756";"A Memoir Blue"
"382812";"A Musical Story"
"382880";"A Night in the Forum"
"383048";"A Pixel Story"
"383052";"A Plague Tale - Innocence"
"383080";"A Pretty Odd Bunny"
"383392";"A Short Hike"
"383396";"A Sketchbook About Her Sun"
"383708";"A Street Cat's Tale"
"383732";"A Summer with the Shiba Inu"
"383736";"A Tale of Paper"
"384028";"A Way Out"
"384052";"A Winter's Daydream"
"384080";"A Year of Springs"
"383752";"A-Tech Cybernetic VR"
"383908";"A-Train Exp."
"383024";"A.O.T.: Wings of Freedom - Episode All Set"
"383028";"A.O.T.: Wings of Freedom - Weapon All Set"
"381996";"Aaero"
"382000";"Aaru's Awakening"
"382004";"Aban Hawkins &#x26; the 1001 Spikes: The Temple of the Dead Mourns the Living"
"382012";"Abo Khashem"
"382016";"Aborigenus"
"382024";"Absolver"
"382032";"Abyss Odyssey"
"382036";"Abyss: The Wraiths of Eden"
"382040";"Abz&#xFB;"
"381868";"ACA NeoGeo - 3 Count Bout"
"382240";"Aca Neogeo Aero Fighters 2"
"382244";"Aca Neogeo Aero Fighters 3"
"382380";"Aca Neogeo Aggressors Of Dark Kombat"
"382684";"Aca Neogeo Alpha Mission 2"
"383308";"Aca Neogeo Art Of Fighting"
"384272";"Aca Neogeo Baseball Stars 2"
"384276";"Aca Neogeo Baseball Stars Professional"
"400948";"Aca Neogeo Big Tournament Golf"
"385104";"Aca Neogeo Blazing Star"
"392360";"Aca Neogeo Football Frenzy"
"393100";"Aca Neogeo Ghost Pilots"
"399216";"Aca Neogeo Metal Slug 4"
"400508";"Aca Neogeo Nam-1975"
"401300";"Aca Neogeo Ninja Master's"
"403412";"Aca Neogeo Power Spikes 2"
"403440";"Aca Neogeo Prehistoric Isle 2"
"403748";"Aca Neogeo Pulstar"
"404108";"Aca Neogeo Ragnagard"
"404800";"Aca Neogeo Riding Hero"
"407436";"Aca Neogeo Samurai Shodown"
"407444";"Aca Neogeo Samurai Shodown 2"
"407448";"Aca Neogeo Samurai Shodown 3"
"407452";"Aca Neogeo Samurai Shodown 4"
"407464";"Aca Neogeo Samurai Shodown 5"
"407472";"Aca Neogeo Samurai Shodown 5 Special"
"407528";"Aca Neogeo Savage Reign"
"408200";"Aca Neogeo Shock Troopers - 2nd Squad"
"408884";"Aca Neogeo Soccer Brawl"
"409504";"Aca Neogeo Stakes Winner 2"
"410048";"Aca Neogeo Street Hoop"
"410544";"Aca Neogeo Super Sidekicks"
"410548";"Aca Neogeo Super Sidekicks 2"
"410552";"Aca Neogeo Super Sidekicks 3 - The Next Glory"
"396404";"Aca Neogeo The King Of Fighters '96"
"396380";"Aca Neogeo The King Of Fighters 2001"
"396400";"Aca Neogeo The King Of Fighters 95"
"396412";"Aca Neogeo The King Of Fighters 97"
"415300";"Aca Neogeo Zed Blade"
"382044";"Acalesia"
"382048";"Accel World VS Sword Art Online"
"382056";"Access Denied"
"382060";"Accounting+"
"382068";"Ace Attorney Turnabout Collection"
"382072";"Ace Banana"
"382076";"Ace Combat 7: Skies Unknown"
"382088";"Ace of Seafood"
"382096";"Aces of the Luftwaffe"
"382100";"Aces of the Luftwaffe: Squadron"
"382104";"Aces of the Multiverse"
"382112";"Achtung! Cthulhu Tactics"
"382124";"Act It Out XL!: A Game of Charades"
"382120";"Act It Out!: A Game of Charades"
"382116";"Action Henk"
"382128";"Active Neurons"
"382132";"Active Neurons 2"
"382136";"Active Neurons 3: Wonders of the World"
"382140";"Active Soccer 2 DX"
"382144";"Actraiser: Renaissance"
"382148";"Adam's Venture: Origins"
"382160";"Addams Family - Mansion Mayhem, The"
"382164";"ADK Tamashii"
"382168";"ADR1FT"
"382172";"AdVenture Capitalist"
"382176";"Adventure Pals, The"
"382180";"Adventure Pop"
"382192";"Adventure Time: Finn and Jake Investigations"
"382196";"Adventure Time: Pirates of the Enchiridion"
"382184";"Adventures of 00 Dilly, The"
"382188";"Adventures of Pip"
"382200";"Aegis Defenders"
"382204";"Aegis of Earth: Protonovus Assault"
"382208";"Aeon Drive"
"382212";"Aeon Must Die!"
"382232";"Aer: Memories of Old"
"382216";"AereA"
"382228";"Aerial_Knight's Never Yield"
"382248";"Aery"
"382252";"Aery: A Journey Beyond Time"
"382256";"Aery: Broken Memories"
"382260";"Aery: Calm Mind"
"382264";"Aery: Calm Mind 2"
"382268";"Aery: Dreamscape"
"382272";"Aery: Sky Castle"
"382276";"AeternoBlade"
"382280";"AeternoBlade Bundle"
"382288";"AeternoBlade I &#x26; II Saga"
"382284";"AeternoBlade II"
"382292";"Affected: The Manor"
"382300";"AFL Evolution"
"382304";"AFL Evolution 2"
"382312";"Afro Samurai 2: Revenge of Kuma"
"382316";"Afterlife"
"382320";"Afterparty"
"382324";"Agatha Christie: Hercule Poirot - The First Cases"
"382328";"Agatha Christie: The ABC Murders"
"382332";"Agatha Knife"
"382352";"Age of Wonders: Planetfall"
"382336";"Agent A"
"382340";"Agents of Mayhem"
"382348";"Agents of Mayhem: Total Mayhem Bundle"
"382372";"Ages of Mages: The Last Keeper"
"382376";"Aggelos"
"382384";"Agony"
"382388";"Aground"
"382484";"AI: The Somnium Files"
"382416";"Aikano: Yukizora no Triangle"
"382420";"AIPD: Artificial Intelligence Police Department"
"382428";"Air Bounce: The Jump 'n' Run Challenge"
"382436";"Air Conflicts: Pacific Carriers - PlayStation 4 Edition"
"382440";"Air Conflicts: Secret Wars - Ultimate Edition"
"382444";"Air Conflicts: Vietnam - Ultimate Edition"
"382452";"Air Force Special Ops: Nightfall"
"382456";"Air Gun Fighter"
"382464";"Air Hockey"
"382472";"Air Missions: Hind"
"382424";"Airborne Kingdom"
"382448";"Aircraft Evolution"
"382460";"Airheart: Tales of Broken Wings"
"382468";"AirMech"
"382476";"Airport Simulator 2019"
"382480";"Airport Simulator 3: Day &#x26; Night"
"382496";"Ajax"
"382504";"Akash: Path of the Five"
"382508";"Akiba's Beat"
"382512";"Akiba's Beat: Full Wardrobe Set"
"382520";"Akiba's Trip - Undead and Undressed"
"382516";"Akiba's Trip: Hellbound &#x26; Debriefed"
"382528";"Akinofa"
"382532";"Akita Oga Mystery Guide: The Frozen Silverbell Flower"
"382540";"Alan Wake: Remastered"
"382544";"Alba: A Wildlife Adventure"
"382548";"Albedo: Eyes from Outer Space"
"382552";"Albert &#x26; Otto"
"382556";"Alchemic Jousts"
"382560";"Alchemist Adventure"
"382564";"Alchemist's Castle"
"382568";"Alekhine's Gun"
"382572";"Aleste Collection"
"382584";"Alex Kidd in Miracle World DX"
"382580";"Alexio"
"382600";"Alien Destroyer"
"382624";"Alien Shooter"
"382628";"Alien Shooter + Doodle God Bundle"
"382604";"Alien: Isolation"
"382616";"Alien: Isolation - The Collection"
"382588";"Alienation"
"382620";"Aliens: Fireteam Elite"
"382644";"All in! Games"
"382652";"All-Star Fruit Racing"
"382640";"Alliance Alive - HD Remastered, The"
"382648";"Allison's Diary: Rebirth"
"382656";"Almost There"
"382660";"Alone with You"
"382664";"Along Together"
"382676";"Alpha Invasion"
