"Game ID";"Game Name"
"124676";"0 Story"
"22197";"007 - From Russia With Love"
"22156";"007 - Agent Under Fire"
"22011";"007 - Nightfire"
"22191";"007 - Quantum Of Solace"
"22069";"007 - Everything Or Nothing"
"24206";"10 Pin - Champions Alley"
"23217";"10.000 Bullets"
"195394";"100 Bullets"
"483581";"120 Yen no Haru - 120 Yen Stories"
"127006";"12riven - The Psi-climinal Of Integral"
"23537";"18 Wheeler American Pro Trucker"
"22890";"187 Ride Or Die"
"23798";"1945 1 And 2 - The Arcade Games"
"153024";"2003-toshi Kaimaku - Ganbare Kyuukaiou"
"24013";"21 Card Games"
"22217";"24 - The Game"
"23235";"25 To Life"
"127007";"3 Nen B Gumi Kinpachi Sensei - Densetsu No Kyoudan Ni Tate!"
"496139";"3D Fighting the Best"
"153903";"3ldk - Shiawase Ni Narou Yo"
"23489";"4x4 Evo 2"
"22969";"4x4 Evolution"
"22175";"50 Cent - Bulletproof"
"22795";"7 Blades"
"22332";"7 Sins"
"23737";"7 Wonders Of The Ancient World"
"496127";"89 Arcade Classics"
"22232";"Golden Compass ,The"
"483101";"A Ressha de Ikou 2001"
"23148";"A-train 6"
"127028";"Aa Megami-sama"
"127029";"Abarenbou Princess"
"22705";"Ac/dc Live - Rock Band Track Pack"
"22425";"Ace Combat - Distant Thunder"
"22198";"Ace Combat - Squadron Leader"
"22363";"Ace Combat - The Belkan War"
"127011";"Ace Lightning"
"23531";"Aces Of War"
"127030";"Action Girlz Racing"
"127031";"Action Man A.t.o.m. - Alpha Teens On Machines"
"22892";"Activision Anthology"
"23393";"Adiboo and the Energy Thieves"
"483980";"ADK Damashii"
"127033";"Adventure Of Tokyo Disney Sea - Ushinawareta Houseki No Himitsu"
"22831";"Aeon Flux"
"23787";"Aero Elite - Combat Academy"
"127035";"Aerobics Revolution"
"23825";"AFL Live 2003"
"23918";"AFL Live 2004"
"24088";"Afl Live Premiership Edition"
"24338";"Afl Premiership 2005"
"24300";"Afl Premiership 2006"
"24174";"Afl Premiership 2007"
"134909";"After... - Wasure Enu Kizuna"
"23253";"Agassi Tennis Generation"
"21900";"Age Of Empires 2 - The Age Of Kings"
"23494";"Agent Hugo"
"23666";"Agent Hugo - Hula Holiday"
"23862";"Agent Hugo - Lemoon Twist"
"23583";"Agent Hugo - Roborumble"
"22838";"Aggressive Inline - Featuring Taig Khris"
"483584";"AI Igo 2003"
"483587";"AI Mahjong 2003"
"483893";"AI Shougi 2003"
"134910";"Ai Yori Aoshi"
"127036";"Aikagi - Nukumori To Hidamari No Naka De"
"127037";"Air"
"24141";"Air Raid 3"
"153245";"Air Ranger 2 - Rescue Helicopter"
"23357";"Air Ranger Rescue Helicopter"
"22470";"Airblade"
"23098";"Airborne Troops - Countdown to D-Day"
"22929";"Deadly Skies 3"
"484613";"Akagi - Yami ni Oritatta Tensai"
"127039";"Akai Ito"
"127040";"Akane Iro Ni Somaru Saka - Parallel"
"23397";"Akira Psycho Ball"
"127041";"Akudaikan"
"127042";"Akudaikan 2 - Mousouden"
"153246";"Akudaikan 3"
"494978";"Alarm for Cobra 11"
"23854";"Alarm For Cobra 11 - Hot Pursuit"
"22773";"Pippa Funnell - Take The Reins"
"22436";"Alexandra Ledermann - Le Haras De La Vallée"
"23085";"Scar - Squadra Corse Alfa Romeo"
"22675";"Alias"
"22715";"Alien Hominid"
"24218";"Aliens In The Attic"
"22352";"Aliens Versus Predator - Extinction"
"127050";"All Star Pro Wrestling"
"127051";"All Star Pro-wrestling 2"
"484187";"All Star Pro-Wrestling III"
"23587";"All-star Baseball 2002"
"23678";"All-Star Baseball 2003"
"23742";"All-Star Baseball 2004 featuring Derek Jeter"
"24098";"All-star Baseball 2005"
"127052";"All-star Fighters"
"22223";"Alone In The Dark"
"22132";"Alone In The Dark - The New Nightmare"
"23342";"Alpine Racer 3"
"23611";"Alpine Ski Racing 2007 - Bode Miller vs. Hermann Maier"
"24059";"Alpine Skiing 2005"
"23384";"Alter Echo"
"127059";"Altered Beast"
"23414";"Alvin and the Chipmunks"
"23415";"Amagami"
"127060";"Amagoushi No Yakata"
"484019";"America Oudan Ultra Quiz"
"23619";"American Chopper"
"23545";"American Chopper 2 - Full Throttle"
"24457";"Pop Idol"
"24131";"AMF Xtreme Bowling 2006"
"23451";"Amplitude"
"23283";"And 1 Streetball"
"195391";"Angel Profile"
"203996";"Angel Wish: Kimi no Egao ni Chu!"
"127062";"Angel's Feather"
"485063";"Angel's Feather - Kuro no Zan'ei"
"153249";"Angelic Concert"
"127063";"Angelique Etoile"
"127064";"Angelique Trois"
"22782";"Animal Soccer World"
"22816";"Animaniacs - The Great Edgar Hunt"
"134911";"Anime Eikaiwa - 15 Shounen Hyouryuuki - Hitomi No Naka No Shounen"
"134912";"Anime Eikaiwa - Tondemo Nezumi Daikatsuyaku"
"134913";"Anime Eikaiwa - Tottoi"
"127067";"Another Century's Episode"
"127054";"Another Century's Episode 2"
"23373";"Another Century's Episode 3 - The Final"
"23486";"Anubis 2"
"484499";"Ao no mama de..."
"127069";"Aoi Sora No Neosphere - Nanoca Flanka Hatsumei Koubouki 2"
"127070";"Aoi Umi No Tristia - Nanoca Flanka Hatsumei Koubouki"
"24064";"Aoishiro"
"22721";"Ape Escape 2"
"22562";"Ape Escape 3"
"127055";"Ape Escape - Pumped And Primed"
"134914";"Apocripha-0"
"23343";"Appleseed Ex"
"483554";"Aqua Kids"
"23612";"Aqua Teen Hunger Force Zombie Ninja Pro-am"
"23837";"Aqua Aqua - Wetrix 2"
"22460";"Ar Tonelico - Melody Of Elemia"
"22377";"Ar tonelico 2 - Melody of Metafalica"
"153247";"Arabians Lost - The Engagement On Desert"
"22201";"Arc The Lad - End Of Darkness"
"124665";"Arc the Lad - Twilight of the Spirits"
"23174";"Arcade Action - 30 Games"
"22413";"Arcade Classics Volume 1"
"24295";"Arcade Usa"
"24224";"Arcade, The"
"22735";"Arcana Heart"
"127071";"Arcobaleno!"
"23702";"Arctic Thunder"
"24216";"Are You Smarter Than A 5th Grader ? Make The Grade"
"22531";"Area-51"
"195396";"Arena Football"
"23928";"Arena Football - Road To Glory"
"484418";"Aria - The Natural - Tooi Yume no Mirage"
"195392";"Aria - The Origination - Aoi Hoshi No El Cielo"
"195393";"Armen Noir"
"195390";"Armored Core - Formula Front"
"22673";"Armored Core 2"
"23091";"Armored Core 2 - Another Age"
"22956";"Armored Core 3"
"23261";"Armored Core - Last Raven"
"23157";"Armored Core - Nexus"
"23289";"Armored Core - Nine Breaker"
"23099";"Silent Line - Armored Core"
